created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
09/06/2015,206939,311119,POINT (-73.83239892050959 40.747319721943654),3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,Unsure,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,132-018 57 AVENUE,11355,Flushing,407,4,Queens,20,25,16,QN62,Queensboro Hill,4080301,New York,40.74731972,-73.83239892,1030689.55212,211589.801936
08/31/2015,191396,223665,POINT (-73.9993892566752 40.67662092554454),15,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,156 NELSON STREET,11231,Brooklyn,306,3,Brooklyn,39,52,25,BK33,Carroll Gardens-Columbia Street-Red Hook,3006500,New York,40.67662093,-73.99938926,984419.406802,185787.659971
08/22/2015,166078,401607,POINT (-74.13268208750135 40.61867265285051),15,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,Damage,TreesCount Staff,RootOther,No,No,Yes,No,No,No,No,No,No,69 THE BOULEVARD,10314,Staten Island,501,5,Staten Island,50,63,24,SI07,Westerleigh,5020100,New York,40.61867265,-74.13268209,947414.935207,164703.40916
09/12/2015,217286,348663,POINT (-73.84155473997902 40.722465287124095),18,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,110-005 71 AVENUE,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4075702,New York,40.72246529,-73.84155474,1028169.00434,202529.84335
09/10/2015,214427,322609,POINT (-73.76750962093838 40.769892980192985),18,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,216-018 CORBETT ROAD,11361,Bayside,411,4,Queens,19,26,11,QN46,Bayside-Bayside Hills,4111300,New York,40.76989298,-73.76750962,1048647.46502,219855.008831
09/01/2015,193721,304107,POINT (-73.93005948779698 40.74684528993159),11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,34-006 SKILLMAN AVENUE,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4017900,New York,40.74684529,-73.93005949,1003629.53406,211380.261016
08/24/2015,171743,232373,POINT (-73.95441727942094 40.65149327594763),4,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,135 MARTENSE STREET,11226,Brooklyn,317,3,Brooklyn,40,43,20,BK60,Prospect Lefferts Gardens-Wingate,3082200,New York,40.65149328,-73.95441728,996898.410059,176636.240609
09/01/2015,195557,303551,POINT (-73.90971698441811 40.744576367699516),13,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,41-028 55 STREET,11377,Woodside,402,4,Queens,26,30,12,QN63,Woodside,4025100,New York,40.74457637,-73.90971698,1009267.00638,210558.775455
09/08/2015,208794,107179,POINT (-73.96042096235726 40.763803061845245),4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,330 EAST 65 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011800,New York,40.76380306,-73.96042096,995214.004963,217553.268683
09/01/2015,194571,107522,POINT (-73.95057080812727 40.77101398625514),5,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,1or2,Helpful,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,1482 YORK AVENUE,10075,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1013200,New York,40.77101399,-73.95057081,997941.16716,220181.833308
